username;password;first name;last name;email;city;maildisplay;course;group
fizms-22024ENKolesnikov;7158;Евгений Никитич;Колесников;fizms-22024ENKolesnikov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024VTRodionova;8076;Варвара Тимофеевна;Родионова;fizms-22024VTRodionova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024DANikitin;9991;Данила Анатольевич;Никитин;fizms-22024DANikitin@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024VRIgnatova;3154;Василиса Руслановна;Игнатова;fizms-22024VRIgnatova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024KAPopova;7323;Ксения Артёмовна;Попова;fizms-22024KAPopova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024EMPokrovskaja;2502;Елизавета Максимовна;Покровская;fizms-22024EMPokrovskaja@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024EVProhorov;7313;Эмиль Владимирович;Прохоров;fizms-22024EVProhorov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024VMAbramova;8369;Виктория Мироновна;Абрамова;fizms-22024VMAbramova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024MVTerent'ev;1389;Михаил Вячеславович;Терентьев;fizms-22024MVTerent'ev@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024DIPopova;9745;Дарья Ильинична;Попова;fizms-22024DIPopova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024DRFilimonova;7384;Диана Романовна;Филимонова;fizms-22024DRFilimonova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024UEDmitrieva;5549;Ульяна Евгеньевна;Дмитриева;fizms-22024UEDmitrieva@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024TMNikolaev;9029;Тимофей Матвеевич;Николаев;fizms-22024TMNikolaev@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AKDemidova;5186;Анастасия Кирилловна;Демидова;fizms-22024AKDemidova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024NNKlimov;1816;Никита Никитич;Климов;fizms-22024NNKlimov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024VFPopova;3776;Василиса Филипповна;Попова;fizms-22024VFPopova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024NIKondrashov;2380;Николай Ильич;Кондрашов;fizms-22024NIKondrashov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024MISokolov;8807;Максим Игоревич;Соколов;fizms-22024MISokolov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AADavydova;7321;Александра Александровна;Давыдова;fizms-22024AADavydova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024MMBondarev;9813;Матвей Макарович;Бондарев;fizms-22024MMBondarev@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024LFAlekseev;6024;Лев Фёдорович;Алексеев;fizms-22024LFAlekseev@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AIPlotnikov;1773;Александр Иванович;Плотников;fizms-22024AIPlotnikov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024VKLeont'eva;2915;Вероника Кирилловна;Леонтьева;fizms-22024VKLeont'eva@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AKKuznetsov;9113;Арсений Константинович;Кузнецов;fizms-22024AKKuznetsov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024FMNesterov;9498;Фёдор Максимович;Нестеров;fizms-22024FMNesterov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AAZaharova;8701;Ариана Артёмовна;Захарова;fizms-22024AAZaharova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024SMMoiseeva;2033;София Матвеевна;Моисеева;fizms-22024SMMoiseeva@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024JaMZolotova;1124;Ясмина Матвеевна;Золотова;fizms-22024JaMZolotova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AGKulikova;4535;Арина Глебовна;Куликова;fizms-22024AGKulikova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AGBeljaeva;4110;Алиса Гордеевна;Беляева;fizms-22024AGBeljaeva@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024SIIvanov;6710;Серафим Ильич;Иванов;fizms-22024SIIvanov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024ESBulatova;7070;Екатерина Станиславовна;Булатова;fizms-22024ESBulatova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024LVAfanas'ev;7618;Лев Всеволодович;Афанасьев;fizms-22024LVAfanas'ev@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024FDBorisov;9454;Филипп Дмитриевич;Борисов;fizms-22024FDBorisov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024VJuBeljakova;1078;Василиса Юрьевна;Белякова;fizms-22024VJuBeljakova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024FGTrofimov;4764;Фёдор Григорьевич;Трофимов;fizms-22024FGTrofimov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024GLProhorov;5482;Герман Лукич;Прохоров;fizms-22024GLProhorov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024SFNefedov;4419;Сергей Фёдорович;Нефедов;fizms-22024SFNefedov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024MVMinina;2434;Мирослава Владиславовна;Минина;fizms-22024MVMinina@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024NVLatyshev;0827;Николай Владимирович;Латышев;fizms-22024NVLatyshev@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024MNMatveev;9079;Матвей Николаевич;Матвеев;fizms-22024MNMatveev@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AMMartynov;2888;Артём Маркович;Мартынов;fizms-22024AMMartynov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024DMSerebrjakova;8445;Дарья Матвеевна;Серебрякова;fizms-22024DMSerebrjakova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024MAKazakov;0026;Мирослав Андреевич;Казаков;fizms-22024MAKazakov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024ASMarkova;7831;Анна Станиславовна;Маркова;fizms-22024ASMarkova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024MDOvchinnikov;1934;Михаил Дмитриевич;Овчинников;fizms-22024MDOvchinnikov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024SRGuseva;1393;Софья Романовна;Гусева;fizms-22024SRGuseva@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024IALobanov;7804;Иван Александрович;Лобанов;fizms-22024IALobanov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024NIMoiseev;8733;Никита Ильич;Моисеев;fizms-22024NIMoiseev@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024VIGrishina;6973;Виктория Ивановна;Гришина;fizms-22024VIGrishina@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024DRKolesnikov;4960;Даниил Романович;Колесников;fizms-22024DRKolesnikov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AANesterova;5069;Алиса Александровна;Нестерова;fizms-22024AANesterova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024DAEremina;7422;Дарья Артёмовна;Еремина;fizms-22024DAEremina@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024VMKuznetsova;3895;Вера Матвеевна;Кузнецова;fizms-22024VMKuznetsova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AASorokin;3869;Алексей Артёмович;Сорокин;fizms-22024AASorokin@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024VAMaslova;5834;Валерия Артёмовна;Маслова;fizms-22024VAMaslova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AMBaranov;7639;Артём Матвеевич;Баранов;fizms-22024AMBaranov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024STFrolova;3048;Сафия Тимуровна;Фролова;fizms-22024STFrolova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AGKruglova;8722;Анна Германовна;Круглова;fizms-22024AGKruglova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024BRKrylov;3158;Богдан Романович;Крылов;fizms-22024BRKrylov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024PKLazarev;1224;Платон Кириллович;Лазарев;fizms-22024PKLazarev@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024KIKazakov;7978;Кирилл Иванович;Казаков;fizms-22024KIKazakov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024FALapshin;1986;Филипп Андреевич;Лапшин;fizms-22024FALapshin@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AIRomanov;5010;Александр Иванович;Романов;fizms-22024AIRomanov@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024SVGuljaev;8345;Сергей Викторович;Гуляев;fizms-22024SVGuljaev@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AMKosarev;5587;Александр Михайлович;Косарев;fizms-22024AMKosarev@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024AMEliseeva;2444;Александра Максимовна;Елисеева;fizms-22024AMEliseeva@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024VTMaksimova;4653;Вероника Тимофеевна;Максимова;fizms-22024VTMaksimova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024MRIvanova;3962;Марьям Романовна;Иванова;fizms-22024MRIvanova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024VGAlekseev;7156;Валерий Глебович;Алексеев;fizms-22024VGAlekseev@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024VKSidorova;9449;Валерия Константиновна;Сидорова;fizms-22024VKSidorova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024KDJakovleva;8936;Кира Демидовна;Яковлева;fizms-22024KDJakovleva@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024APVinogradova;5662;Агния Петровна;Виноградова;fizms-22024APVinogradova@fiztest.gsu.by;Гомель;0;3;MS-2
fizms-22024MAZharov;6599;Михаил Андреевич;Жаров;fizms-22024MAZharov@fiztest.gsu.by;Гомель;0;3;MS-2
